chart_id,chosen_label,chosen_value,correct_median,correct,trial_file
bar_horizontal_01,4,82,75,false,trial8.csv
bar_horizontal_15,4,62,68,false,trial8.csv
bar_horizontal_19,5,47,50,false,trial8.csv
bar_horizontal_12,3,11,38,false,trial8.csv
bar_vertical_06,5,68,68,true,trial9.csv
pie_17,6,94,53,false,trial9.csv
bar_horizontal_08,3,68,48,false,trial9.csv
pie_11,6,38,50.5,false,trial9.csv
bar_horizontal_05,5,32,29,false,trial9.csv
bar_horizontal_11,5,24,61.5,false,trial9.csv
bar_horizontal_20,4,72,55,false,trial9.csv
bar_horizontal_04,4,24,29,false,trial9.csv
bar_horizontal_07,5,96,51,false,trial9.csv
pie_01,4,23,23,true,trial9.csv
bar_vertical_09,5,51,46,false,trial9.csv
bar_horizontal_14,6,84,77,false,trial9.csv
bar_vertical_03,4,73,73,true,trial9.csv
bar_vertical_18,6,72,32,false,trial9.csv
bar_vertical_16,5,98,56,false,trial9.csv
bar_vertical_10,4,42,49,false,trial9.csv
pie_05,1,82,71,false,trial9.csv
bar_horizontal_10,7,92,42.5,false,trial9.csv
bar_horizontal_09,3,65,65,true,trial9.csv
pie_20,1,43,53,false,trial9.csv
pie_14,2,83,54,false,trial9.csv
bar_horizontal_13,4,81,72,false,trial9.csv
pie_03,8,52,56,false,trial9.csv
pie_10,1,35,35,true,trial9.csv
pie_08,6,57,72,false,trial9.csv
bar_horizontal_03,4,70,57,false,trial9.csv
pie_09,1,41,41,true,trial9.csv
pie_13,2,59,59,true,trial9.csv
pie_02,1,36,37.5,false,trial9.csv
bar_horizontal_02,3,69,71,false,trial9.csv
bar_vertical_02,6,51,45.5,false,trial9.csv
bar_vertical_11,4,73,73,true,trial9.csv
bar_vertical_13,6,60,59,false,trial9.csv
bar_horizontal_16,7,60,46,false,trial9.csv
bar_vertical_14,5,18,18,true,trial9.csv
pie_06,6,73,60,false,trial9.csv
bar_vertical_01,5,59,54.5,false,trial9.csv
bar_vertical_08,5,56,58,false,trial9.csv
bar_horizontal_06,4,94,53,false,trial9.csv
pie_16,5,63,39,false,trial9.csv
bar_vertical_19,4,32,62,false,trial9.csv
pie_18,2,69,56,false,trial9.csv
bar_vertical_20,4,96,43,false,trial9.csv
bar_vertical_17,5,93,49.5,false,trial9.csv
bar_horizontal_17,4,59,46,false,trial9.csv
bar_vertical_07,4,84,68.5,false,trial9.csv
